Date,A2336147W,A2336148X,A2336149A,A2336150K,A2336151L,A2336152R,A2336153T,A2336154V,A2336155W,A2336156X,A2336157A,A2336158C,A2336159F,A2336160R,A2336161T,A2336162V,A2336163W,A2336164X,A2336165A,A2336176J,A2336177K,A2336169K,A2336170V,A2336171W,A2336172X,A2336166C,A2336167F,A2336168J,A2713897W,A2713931R,A2336175F,A2336178L,A2336179R,A2336180X,A2336181A,A2336182C,A2336183F,A2336184J,A2336185K,A2336186L,A2336187R,A2336188T,A2336189V,A2336190C,A2336191F,A2336192J,A2478895J,A2336347R,A2336069A,A2336070K,A2336071L,A2336072R,A2336073T,A2336074V,A2336075W,A2336076X,A2336077A,A2336078C,A2336079F,A2336080R,A2336081T,A2336082V,A2336083W,A2336084X,A2336085A,A2336086C,A2336087F,A2336098L,A2336099R,A2336091W,A2336092X,A2336093A,A2336094C,A2336088J,A2336089K,A2336090V,A2713896V,A2713930L,A2336097K,A2336100L,A2336101R,A2336102T,A2336103V,A2336104W,A2336105X,A2336106A,A2336107C,A2336108F,A2336109J,A2336110T,A2336111V,A2336112W,A2336113X,A2336114A,A2478896K,A2336321T,A2714320W,A2714321X,A2714322A,A2714324F,A2714325J,A2714326K,A2714328R,A2714329T,A2714330A,A2714332F,A2714333J,A2714334K,A2714336R,A2714337T,A2714338V,A2714340F,A2714341J,A2714342K,A2714344R,A2714345T,A2714346V,A2714348X,A2714349A,A2714350K,A2714352R,A2714353T,A2714354V,A2714356X,A2714357A,A2714358C,A2714360R,A2714361T,A2714362V,A2714364X,A2714365A,A2714366C,A2714368J,A2714369K,A2714370V,A2714372X,A2714373A,A2714374C,A2714376J,A2714377K,A2714378L,A2714380X,A2714381A,A2714382C,A2714384J,A2714385K,A2714386L,A2714388T,A2714389V,A2714390C,A2714392J,A2714393K,A2714394L,A2335320W,A2335491R,A2335322A,A2335494W,A2335495X,A2335496A,A83748444C,A2334340L,A2334341R,A2334342T,A2334348F,A2334349J,A2334344W,A2334343V,A2713867J,A2713901A,A2334347C,A2334350T,A2334351V,A2334352W,A2334353X,A2334354A,A2334355C,A2334356F,A2334357J,A2334358K,A2334359L,A2334360W,A2715263F,A2715264J,A2715265K,A2715266L,A2715267R,A2715268T,A2715269V,A2715270C,A2715271F,A2715272J,A2715273K,A2715274L,A2715275R,A2715276T,A2715277V,A2715278W,A2715279X,A2715280J,A2715281K,A2334228L,A2334230X,A2715776L,A2715038K,A2715039L,A2715040W,A2715041X,A2715042A,A2715043C,A2715044F,A2715045J,A2715046K,A2715047L,A2715048R,A2715049T,A2715050A,A2715051C,A2715052F,A2715053J,A2715054K,A2715055L,A2529306J,A2478272L,A2478273R,A2478274T,A2478275V,A2714932K,A2714933L,A2714934R,A2714935T,A2714936V,A2714937W,A2714938X,A2714939A,A2714940K,A2714941L,A2714942R,A2714943T,A2714944V,A2714945W,A2714946X,A2714947A,A2714948C,A2714949F,A2714950R,A2529307K,A2478294A,A2478295C,A2478296F,A2715605V,A2715606W,A2715607X,A2715608A,A2715609C,A2715610L,A2715611R,A2715612T,A2715613V,A2715614W,A2715615X,A2715616A,A2715617C,A2715618F,A2715619J,A2715620T,A2715621V,A2715622W,A2715623X,A2529246T,A2478087K,A2478088L,A2478089R,A2714323C,A2714327L,A2714331C,A2714335L,A2714339W,A2714343L,A2714347W,A2714351L,A2714355W,A2714359F,A2714363W,A2714367F,A2714371W,A2714375F,A2714379R,A2714383F,A2714387R,A2714391F,A2714395R,A2529279L,A2478862L,A2478863R,A2478864T,A2478865V,A2713972K,A2713973L,A2713974R,A2713975T,A2713976V,A2713977W,A2713978X,A2713979A,A2713980K,A2713981L,A2713982R,A2713983T,A2713984V,A2713985W,A2713986X,A2713987A,A2713988C,A2713989F,A2713990R,A2529280W,A2478884A,A2478885C,A2478886F,A2715803J,A2715804K,A2715805L,A2715806R,A2715807T,A2715808V,A2715809W,A2715810F,A2715811J,A2715812K,A2715813L,A2715814R,A2715815T,A2715816V,A2715817W,A2715818X,A2715819A,A2715940C,A2715949X,A2529281X,A2478668J,A2478670V,A2714124L,A2714125R,A2714126T,A2714127V,A2714128W,A2714129X,A2714130J,A2714131K,A2714132L,A2714133R,A2714134T,A2714135V,A2714136W,A2714137X,A2714138A,A2714139C,A2714140L,A2714778X,A2714779A,A2529269J,A2528543V,A2528544W,A2528545X
Jun-2000,14552,30665,44955,14882,10174,3474,31141,6953,5496,8817,16802,1599,12780,8679,10528,22061,2085,150240,195098,17569,9916,6503,4031,-53,10534,8974,-503,8488,1254,2990,22270,46448,1709,1652,3349,1781,3522,5263,8571,54969,249261,23939,34031,8328,9205,22186,4322,264801,10058,16228,26286,10094,3675,3859,16637,2259,5493,5574,11894,2245,11965,3419,6244,14053,1296,98707,124993,10262,2394,4479,2353,-31,6801,12479,-716,11762,749,3209,22521,35177,1212,1155,2367,1773,2252,4025,6392,41570,166563,20904,33492,5967,8429,12420,186,164120,1366,2887,4253,1165,2426,3592,12443,10875,23318,1194,4782,5976,4521,5233,9753,4264,2738,7003,5648,2272,7921,2522,958,3479,4731,2211,6942,2630,3919,6549,5176,8456,13633,1256,1673,2929,6485,977,7462,2998,278,3276,5775,1493,7268,6681,939,7620,6431,1586,8018,1033,708,1742,1990,988,2978,11355,78311,66755,145066,18867,186,164120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8899,7026,35679,8183,14881,11886,10309,5870,11982,5676,21679,8155,13847,9741,11927,14495,14140,3102,4730,25137,245590,23649,-4240,264801,12.7,-0.7,1.8,2.4,2.8,7.2,7.6,17.1,0.7,4.7,2.0,6.1,2.8,7.0,-5.8,0.5,5.6,9.0,6.9,3.5,3.5,3.9,3.8,0.4,0,0.2,0.1,0.2,0.3,0.3,0.3,0,0.1,0.2,0.2,0.1,0.3,-0.3,0,0.3,0.1,0.1,0.3,0.3,0.1,3.8,4342,3594,23587,4626,8795,8238,8126,3475,7548,6541,13979,3619,8131,4093,7199,7334,8970,2745,2867,12508,150317,13989,-186,164120,9.5,42.2,0.9,0.5,8.2,4.4,8.6,12.4,-0.1,4.3,3.9,14.2,14.2,17.9,-4.5,5.9,9.4,19.8,8.7,7.5,6.4,4.6,6.5,21.1,12.8,30.8,28.3,21,26,25,20.2,24.4,26.1,27,23.9,25.5,26.3,19.1,24.7,26.4,39.8,21.4,24.1,26.7,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2001,14794,32242,46667,15793,10089,3305,32150,7251,5543,9096,18034,1806,13285,8734,10202,22287,2230,154742,201278,15062,9540,6379,3269,43,9800,9583,-768,8825,1154,3454,22698,44966,1004,1726,2714,1734,3412,5109,7812,52735,252659,24232,33890,8958,9042,20592,5204,268713,10658,18500,29158,10902,4026,3936,17764,2604,5660,5786,13281,2718,12895,3666,6566,14869,1467,106140,135298,9638,2437,4681,2011,27,6719,13471,-1080,12391,829,3797,23736,35811,688,1176,1864,1747,2291,4038,5903,41714,177012,24589,36892,6503,9171,12332,449,174822,1607,3874,5481,1228,2198,3426,13046,9834,22880,1274,5320,6593,4471,4941,9412,4518,2596,7114,5778,2337,8115,2695,930,3625,5054,1981,7034,2776,4187,6963,5505,8788,14293,1351,1677,3027,7568,1124,8692,3458,352,3810,6123,1794,7917,7441,1120,8561,7016,1597,8614,1101,711,1812,2084,1014,3098,11996,84096,68370,152466,21907,449,174822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9142,6066,35154,8060,14137,11364,10664,5840,12624,5919,21723,8209,15662,10635,12941,14852,15210,3380,5115,26064,250918,23111,-5147,268713,2.7,-13.7,-1.5,-1.5,-5.0,-4.4,3.4,-0.5,5.4,4.3,0.2,0.7,13.1,9.2,8.5,2.5,7.6,9.0,8.1,3.7,2.2,-2.3,1.5,0.1,-0.4,-0.2,0,-0.3,-0.2,0.1,0,0.2,0.1,0,0,0.7,0.3,0.4,0.1,0.4,0.1,0.1,0.4,-0.2,-0.3,1.5,5600,3863,23018,5205,8299,8309,8414,3613,7958,6959,14653,3778,9449,4740,8082,8091,9870,2841,2980,13001,158724,16547,-449,174822,29,7.5,-2.4,12.5,-5.6,0.9,3.5,4,5.4,6.4,4.8,4.4,16.2,15.8,12.3,10.3,10,3.5,4,3.9,5.6,18.3,6.5,22.7,10.9,29.7,29.5,22.8,25.5,24.9,19.9,24.7,26.2,26.7,23.2,25.8,26.4,20.3,25.2,27.1,39.4,21.5,24.2,27.1,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2002,15932,32704,48405,15864,9943,3500,32957,7449,6270,9851,18723,1922,14343,9362,10575,22728,1311,160376,208641,17752,10869,6556,4151,-373,10397,10263,-786,9487,1081,3730,24218,49548,1153,1856,2992,1881,4336,6082,9083,58563,266303,24203,34736,9709,8309,16111,6166,279448,11672,19368,31040,11459,4150,4106,18967,2855,6536,6515,13569,2906,14025,4036,7089,15722,888,112824,143863,11754,3442,4997,2648,-242,7404,14387,-1095,13291,840,4096,25631,40827,853,1382,2235,1930,2999,4929,7163,47990,191853,24604,37650,7208,8703,9779,669,187761,1617,4906,6523,1285,2126,3411,13582,10463,24045,1404,3947,5351,5084,5692,10776,4574,3119,7692,6422,2828,9250,2830,942,3773,5227,2342,7568,2881,4499,7380,5951,9334,15285,1458,2142,3600,8467,1149,9616,3907,478,4385,6836,1961,8796,7833,1137,8970,7579,1668,9247,1166,729,1895,2345,1187,3533,12858,90448,73507,163955,23137,669,187761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9573,6011,34521,8164,16064,11094,11607,6165,13060,6190,23131,8868,17214,11424,14229,15026,16110,3420,5529,26392,261693,24067,-6132,279448,4.7,-0.9,-1.8,1.3,13.6,-2.4,8.8,5.6,3.5,4.6,6.5,8.0,9.9,7.4,10.0,1.2,5.9,1.2,8.1,1.3,4.3,4.1,4.0,0.2,0,-0.2,0,0.7,-0.1,0.4,0.1,0.2,0.1,0.5,0.2,0.6,0.3,0.5,0.1,0.3,0,0.2,0.1,0.4,-0.4,4,6649,3503,23984,4590,10299,8965,9407,3735,8458,7367,15205,4423,10479,5383,9201,8348,10617,2905,3373,13930,170820,17610,-669,187761,18.7,-9.3,4.2,-11.8,24.1,7.9,11.8,3.4,6.3,5.9,3.8,17.1,10.9,13.6,13.8,3.2,7.6,2.2,13.2,7.1,7.6,6.4,7.4,22.3,9.6,30.1,24.1,24,25.2,25.4,20.3,24.6,26.6,26.7,25.1,26.9,26.8,21.4,24.7,27.2,39.2,22.2,24.4,27.6,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Jun-2003,16469,33875,50099,16171,9825,3838,33973,7718,6583,10165,19467,2071,15357,9333,10443,23459,2117,166765,216736,18907,11482,7424,5277,56,12726,11910,-922,11001,811,4181,28059,55646,795,1890,2672,2132,4806,6801,9518,65114,281502,21613,39857,10048,8543,17363,7099,289224,12374,20896,33270,12167,4268,4595,20245,3101,6849,7155,14683,3254,14950,4410,7271,16663,1476,121088,154358,12914,3887,5812,3491,36,9338,16017,-1220,14797,664,4489,29287,46088,571,1395,1966,2081,3311,5392,7358,53446,207804,20957,40878,7689,8834,13112,22,199871,1518,3379,4897,1454,2109,3563,14842,11036,25878,1440,3723,5163,5827,6675,12502,5214,4048,9262,6841,2900,9741,3089,932,4021,5268,2811,8079,2800,4960,7760,6181,9955,16135,1773,2431,4203,8688,1573,10261,4495,499,4994,7170,1965,9135,8813,1153,9967,8360,1692,10051,1053,793,1846,2479,1403,3882,13255,97304,77291,174596,25254,22,199871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7871,5750,35561,9030,18490,12160,11986,6623,13422,6471,24062,9442,17402,11478,13961,15798,17074,3448,5902,26784,270632,25772,-7090,289224,-17.8,-4.3,3.0,10.6,15.1,9.6,3.3,7.4,2.8,4.5,4.0,6.5,1.1,0.5,-1.9,5.1,6.0,0.8,6.8,1.5,3.4,7.1,3.5,-0.6,-0.1,0.4,0.3,0.9,0.4,0.1,0.2,0.1,0.1,0.3,0.2,0.1,0,-0.1,0.3,0.3,0,0.1,0.1,0.6,-0.3,3.5,5023,3570,25934,4710,11477,10495,9798,3801,8872,7623,15992,5016,11184,6019,9392,8915,11535,2972,3715,14595,180639,19254,-22,199871,-24.4,1.9,8.1,2.6,11.4,17.1,4.1,1.8,4.9,3.5,5.2,13.4,6.7,11.8,2.1,6.8,8.6,2.3,10.1,4.8,5.7,9.3,6.4,21.7,9.8,29.8,23.3,23.5,26.4,25,20.2,23.9,26.2,27,24.8,26.7,26.8,21,24.6,27.6,37.8,22.7,24.3,27.4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2004,16992,35009,51744,16886,10000,4149,35089,7943,6890,10534,20358,2151,16188,9566,11199,25031,1793,174281,225932,20375,10623,7692,5641,-430,12915,12904,-1252,11669,1056,4456,29528,58358,1079,2963,4025,2216,4246,6418,10413,68693,294353,21483,44273,10997,10065,18685,7705,298886,12919,22015,34934,13053,4513,4989,21478,3287,7122,7599,15478,3429,15484,4701,8075,17902,1280,128392,163326,14466,4280,6432,3869,-291,10009,15738,-1494,14244,910,4666,29829,48575,772,2229,3001,2017,3017,5034,8035,56610,219936,19450,40461,8538,9362,13722,1113,212936,1767,4015,5782,1441,1618,3059,14811,13299,28110,1339,4180,5519,6055,7109,13164,5485,4859,10343,7103,3209,10312,3236,1182,4417,5548,3518,9066,2890,5296,8186,6203,9860,16063,1975,2006,3981,9566,1408,10974,4898,505,5403,7547,1750,9297,8942,1129,10071,9189,1805,10994,1200,897,2097,2595,1659,4254,13833,101789,83137,184925,26897,1113,212936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9855,5508,35834,9691,18297,13339,12867,6868,14149,6904,25177,9311,17862,11112,13442,16024,17998,3645,6209,27558,280175,26534,-7714,298886,25.2,-4.2,0.8,7.3,-1.0,9.7,7.3,3.7,5.4,6.7,4.6,-1.4,2.6,-3.2,-3.7,1.4,5.4,5.7,5.2,2.9,3.5,3.0,3.3,0.7,-0.1,0.1,0.2,-0.1,0.4,0.3,0.1,0.3,0.1,0.4,0,0.2,-0.1,-0.2,0.1,0.3,0.1,0.1,0.3,0.3,-0.2,3.3,5921,3212,27932,5303,12121,11715,10644,4174,9858,8308,16607,4856,11975,6577,9557,9326,12637,3237,4130,15466,193556,20493,-1113,212936,17.9,-10,7.7,12.6,5.6,11.6,8.6,9.8,11.1,9,3.8,-3.2,7.1,9.3,1.8,4.6,9.6,8.9,11.2,6,7.2,6.4,6.5,22.5,9.3,29.8,24.8,21.4,27.6,25.4,20.2,24.4,26.9,26.5,24.3,26,25.9,19.8,24.5,27.6,37.6,22.9,24.1,27.3,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2005,17750,35383,52946,17530,10666,4461,36237,8266,7300,11215,21411,2319,16863,9667,11338,26460,2394,182749,235685,20033,9545,8153,6395,-424,14084,14558,-869,13697,1000,4792,33174,61968,1300,2137,3404,2490,4301,6787,10187,72129,307578,21491,49311,10969,11054,23114,8410,311197,13920,23210,37130,13565,4878,5260,22791,3489,7427,8320,16640,3758,16035,5152,8378,19006,1750,136448,173578,14626,3941,7270,4517,-308,11478,17179,-998,16181,885,4991,33535,52101,951,1693,2644,2246,3141,5387,8031,60132,233710,19980,45280,8719,10349,17885,2462,227126,1902,4077,5979,1447,2346,3793,15299,12164,27464,1603,4350,5954,6105,8684,14789,6174,4928,11102,7587,3134,10721,3706,1192,4898,6195,3698,9892,3036,5533,8569,6802,11565,18367,2213,2094,4306,10108,1968,12076,5225,662,5887,7921,2050,9971,9582,1233,10815,9474,1983,11457,1104,932,2036,2926,1568,4494,14610,108409,88771,197180,27484,2462,227126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9635,5296,35771,10128,20835,13906,13496,7086,15381,7134,27334,9312,17975,11538,15185,16619,18194,3722,6194,28912,292040,27703,-8436,311197,-2.2,-3.8,-0.2,4.5,13.9,4.2,4.9,3.2,8.7,3.3,8.6,0.0,0.6,3.8,13.0,3.7,1.1,2.1,-0.2,4.9,4.2,4.4,4.1,-0.1,-0.1,0,0.1,0.8,0.2,0.2,0.1,0.4,0.1,0.7,0,0,0.1,0.6,0.2,0.1,0,0,0.5,0.4,-0.2,4.1,6124,3476,28737,5888,14464,12295,11110,4370,11219,8858,18546,5270,12860,7198,11067,10381,13053,3263,4388,16486,209052,20535,-2462,227126,3.4,8.2,2.9,11,19.3,5,4.4,4.7,13.8,6.6,11.7,8.5,7.4,9.4,15.8,11.3,3.3,0.8,6.2,6.6,8,0.2,6.7,23,7.5,30.1,25.6,23.2,27.8,25.3,19.8,25.1,27,27.2,24.1,25.5,25.8,21.8,25.3,26.6,36.3,23.3,23.8,27.4,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2006,17747,37089,54538,17898,10757,4672,37321,8235,7088,11753,21332,2491,17553,10133,11594,28440,1682,187626,242144,18921,9492,8436,7699,-418,15529,16947,-1082,15875,1037,5050,37185,65799,1625,2343,3919,2680,4754,7419,11332,77074,319265,21274,52409,11830,11629,20276,9013,317619,14250,25413,39663,14467,5094,5418,24159,3541,7249,8887,17648,4039,16699,5681,8855,20999,1266,144002,183665,14059,4197,7239,5483,-316,12406,19793,-1216,18577,945,5319,37247,55503,1167,1850,3017,2552,3783,6335,9353,64856,248520,20445,49731,9647,11099,17081,3415,238280,1795,4345,6140,1698,2775,4473,15625,11577,27202,1671,4199,5870,6670,9123,15793,6355,4939,11294,7846,3256,11102,3400,1507,4907,6562,3770,10332,3197,5453,8650,7669,11440,19108,2321,2284,4605,11592,1860,13453,5792,814,6607,7898,2162,10060,10268,1353,11621,10463,2176,12639,1034,982,2016,3427,1493,4920,15561,115283,91070,206353,28512,3415,238280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10183,5684,34352,9828,21865,14115,13516,7367,15985,7481,27777,9829,18736,12360,15513,16898,18958,3734,6537,29768,298467,28317,-9053,317619,5.7,7.3,-4.0,-3.0,4.9,1.5,0.1,4.0,3.9,4.9,1.6,5.6,4.2,7.1,2.2,1.7,4.2,0.3,5.5,3.0,2.2,2.2,2.1,0.2,0.1,-0.5,-0.1,0.3,0.1,0,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.1,0.1,0.2,0,0.1,0.3,0.2,-0.2,2.1,6272,4530,28636,5856,15240,12546,11536,4685,11933,9004,19849,5688,14132,7801,11827,11205,14239,3265,4758,17520,220521,21174,-3415,238280,2.4,30.3,-0.4,-0.5,5.4,2,3.8,7.2,6.4,1.6,7,7.9,9.9,8.4,6.9,7.9,9.1,0.1,8.4,6.3,5.5,3.1,4.9,23.1,6.9,29.1,24.4,22.8,27.4,25.1,20.1,25.5,27.3,26.4,24.4,25.5,26.1,21.7,25.3,26.4,35.7,24.7,23.4,26.8,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2007,18813,37561,56160,18239,10692,5194,38414,8351,7617,12250,22471,2589,18340,10411,11925,30402,2145,196200,252376,18885,9178,9367,6855,-905,15316,17064,-1011,16061,871,5641,37702,66216,826,2852,3696,2726,4687,7406,11111,77276,329453,21556,55301,13095,13154,22195,9033,326877,15833,26931,42764,15814,5352,5935,25980,3684,7828,9766,19298,4213,17563,6087,9431,22848,1659,155457,198221,14014,4678,8492,5248,-731,13009,19450,-1115,18335,788,6006,38137,56829,613,2270,2884,2586,3763,6349,9232,66061,264282,21622,52121,10972,12596,18752,4241,255153,1803,3714,5517,1771,2834,4605,15718,10717,26435,1771,3985,5756,7298,9811,17110,7152,4698,11850,8172,4054,12227,3462,1462,4923,6907,5455,12363,3467,5826,9293,9000,12489,21489,2456,2836,5292,12975,3704,16679,6384,1136,7520,7894,2079,9972,10846,1480,12326,11358,2313,13671,1344,788,2133,3785,1461,5247,16784,123565,97626,221191,29721,4240,255153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,8996,5555,33867,9480,22492,14169,14280,7605,16641,8206,30718,9630,19952,13043,15953,17439,19453,4088,6739,30209,307024,29036,-9068,326877,-11.7,-2.3,-1.4,-3.5,2.9,0.4,5.7,3.2,4.1,9.7,10.6,-2.0,6.5,5.5,2.8,3.2,2.6,9.5,3.1,1.5,2.9,2.5,2.9,-0.4,0,-0.2,-0.1,0.2,0,0.2,0.1,0.2,0.2,0.9,-0.1,0.4,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0,2.9,5630,4629,28398,5793,16787,13037,12679,5073,13743,9859,22439,6535,16680,9167,12166,12007,15439,3341,5028,19125,237558,21836,-4241,255153,-10.2,2.2,-0.8,-1.1,10.2,3.9,9.9,8.3,15.2,9.5,13.1,14.9,18,17.5,2.9,7.2,8.4,2.3,5.7,9.2,7.7,3.1,7.1,23.5,6,28.2,23.3,22,26.8,24.8,20.4,25.2,28.1,26.4,25,26.3,26.4,21.2,25.5,25.8,36.1,24.9,23.2,25.8,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2008,19334,38321,57453,18395,10357,5896,39384,8456,8077,12667,24408,2695,19869,10571,11631,31974,1402,203829,261325,19931,10027,11442,6018,-159,17485,18111,-1064,17055,839,6375,41390,71972,368,3473,3894,3070,4527,7638,11536,83467,344813,21603,61786,14506,14918,25446,8491,338154,17082,28624,45706,16430,5437,6736,28193,3976,8302,10355,22018,4452,19270,6366,9579,24296,1124,166532,212238,15528,5524,11313,4761,-141,15932,19493,-1113,18380,969,6810,42091,63143,284,2943,3227,2939,4055,6994,10221,73364,285602,22012,56897,12503,13830,22854,4961,277206,1866,5593,7459,1846,3017,4863,16415,11422,27837,1832,4428,6260,8403,9108,17511,8383,5040,13423,9129,4218,13347,3638,1511,5150,7507,6006,13513,3899,5720,9619,9527,15023,24550,2799,2794,5593,14809,3788,18596,7384,1265,8650,7486,1863,9349,11513,1418,12931,12478,2326,14803,1343,1045,2389,3941,1441,5381,18855,134199,105880,240079,32166,4961,277206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9313,5432,35423,10187,23370,14844,15218,7386,17721,8520,33201,8930,20481,13979,14947,17956,19870,4247,6809,30759,317305,29463,-8508,338154,3.5,-2.2,4.6,7.5,3.9,4.8,6.6,-2.9,6.5,3.8,8.1,-7.3,2.6,7.2,-6.3,3.0,2.1,3.9,1.0,1.8,3.3,1.5,3.5,0.1,0,0.5,0.2,0.3,0.2,0.3,-0.1,0.3,0.1,0.8,-0.2,0.2,0.3,-0.3,0.2,0.1,0,0,0.2,0.1,0.2,3.5,7583,5202,30978,6530,17699,14541,13820,5325,14864,10329,24759,6974,18507,10174,11602,12787,16678,3740,5240,21084,258418,23749,-4961,277206,34.7,12.4,9.1,12.7,5.4,11.5,9,5,8.2,4.8,10.3,6.7,11,11,-4.6,6.5,8,12,4.2,10.2,8.8,8.8,8.6,27.5,6.2,28.6,24.8,21.3,27.2,24.8,19.8,25.6,27.5,27.1,24,26.1,26.4,19.8,25.7,25,37.3,24.7,23,26.6,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2009,19447,39709,58880,19344,10312,6416,40438,8299,8100,13260,22528,2784,20084,11081,11815,30578,1665,204899,263800,21399,8448,10898,6587,-266,17285,17497,-1027,16477,941,6466,40809,71610,368,3784,4212,2917,5270,8205,12418,83995,347800,21234,56883,15338,14476,23103,8195,344311,18196,31222,49418,17982,5613,7215,30846,4132,8207,10877,19638,4484,19731,7091,9663,25162,1377,172020,221438,16921,4613,10584,5596,-240,15940,19118,-1117,18001,919,7043,41903,63437,312,3394,3706,2938,4843,7780,11486,74923,296361,21693,58688,13646,14693,23781,6326,288425,1748,5084,6832,1987,3157,5144,15557,11140,26697,1830,4288,6118,8601,10473,19074,8879,4947,13826,9785,4357,14141,3849,1775,5625,7472,6233,13704,4098,5847,9944,8491,18109,26600,2971,2536,5507,15437,4675,20112,6817,1566,8383,8254,1939,10193,12389,1621,14010,13712,2500,16212,1430,1194,2623,4162,1541,5703,20390,137467,113371,250838,31261,6326,288425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,9511,5955,32837,10694,24854,15270,15703,7356,17992,8673,31721,9101,22929,12468,16875,18589,21165,4512,6823,31587,323550,29064,-8206,344311,2.1,9.6,-7.3,5.0,6.4,2.9,3.2,-0.4,1.5,1.8,-4.5,1.9,12.0,-10.8,12.9,3.5,6.5,6.2,0.2,2.7,2.0,-1.4,1.8,0.1,0.2,-0.8,0.1,0.4,0.1,0.1,0,0.1,0,-0.4,0.1,0.7,-0.4,0.6,0.2,0.4,0.1,0,0.2,-0.1,0.1,1.8,6957,5506,30629,6883,19411,14831,14855,5801,15220,10800,26432,6830,21429,9421,13398,14033,17816,3756,5556,22996,272559,22192,-6326,288425,-8.3,5.8,-1.1,5.4,9.7,2,7.5,8.9,2.4,4.6,6.8,-2.1,15.8,-7.4,15.5,9.7,6.8,0.4,6,9.1,5.5,-6.6,4,24.1,4.8,28.8,24.9,21.3,27.7,25.5,20.2,25.8,27.8,25.9,23.2,27.6,25.3,21,25.7,25,36.2,24.1,22.8,26.8,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
