Date,Date
A2336088J,Private ;  Gross fixed capital formation - Machinery and equipment - New: Current prices ;
A2336089K,Private ;  Gross fixed capital formation - Machinery and equipment - Net purchase of second hand assets: Current prices ;
A2336090V,Private ;  Gross fixed capital formation - Machinery and equipment - Total: Current prices ;
A2713896V,Private ;  Gross fixed capital formation - Cultivated biological resources: Current prices ;
A2713930L,Private ;  Gross fixed capital formation - Intellectual property products: Current prices ;
A2336097K,Private ;  Gross fixed capital formation - Total private business investment: Current prices ;
A2336100L,Private ;  Gross fixed capital formation: Current prices ;
A2336101R,Public corporations - Commonwealth ;  Gross fixed capital formation: Current prices ;
A2336102T,Public corporations - State and local ;  Gross fixed capital formation: Current prices ;
A2336103V,Public corporations ;  Gross fixed capital formation: Current prices ;
A2336104W,General government - National ;  Gross fixed capital formation: Current prices ;
A2336105X,General government - State and local ;  Gross fixed capital formation: Current prices ;
A2336106A,General government ;  Gross fixed capital formation: Current prices ;
A2336107C,Public ;  Gross fixed capital formation: Current prices ;
A2336108F,All sectors ;  Gross fixed capital formation: Current prices ;
A2336109J,All sectors ;  STATE FINAL DEMAND: Current prices ;
A2336110T,All sectors ;  International trade - exports of goods: Current prices ;
A2336111V,All sectors ;  International trade - imports of goods: Current prices ;
A2336112W,All sectors ;  International trade - exports of services: Current prices ;
A2336113X,All sectors ;  International trade - imports of services: Current prices ;
A2336114A,All sectors ;  Balancing item: Current prices ;
A2478896K,All sectors ;  Statistical discrepancy (E): Current prices ;
A2336321T,All sectors ;  GROSS STATE PRODUCT: Current prices ;
A2714320W,"Agriculture, forestry and fishing (A) ;  Total compensation of employees: Current prices ;"
A2714321X,"Agriculture, forestry and fishing (A) ;  Gross operating surplus and gross mixed income: Current prices ;"
A2714322A,"Agriculture, forestry and fishing (A) ;  Total factor income: Current prices ;"
A2714324F,Mining (B) ;  Total compensation of employees: Current prices ;
A2714325J,Mining (B) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714326K,Mining (B) ;  Total factor income: Current prices ;
A2714328R,Manufacturing (C) ;  Total compensation of employees: Current prices ;
A2714329T,Manufacturing (C) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714330A,Manufacturing (C) ;  Total factor income: Current prices ;
A2714332F,"Electricity, gas, water and waste services (D) ;  Total compensation of employees: Current prices ;"
A2714333J,"Electricity, gas, water and waste services (D) ;  Gross operating surplus and gross mixed income: Current prices ;"
A2714334K,"Electricity, gas, water and waste services (D) ;  Total factor income: Current prices ;"
A2714336R,Construction (E) ;  Total compensation of employees: Current prices ;
A2714337T,Construction (E) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714338V,Construction (E) ;  Total factor income: Current prices ;
A2714340F,Wholesale trade (F) ;  Total compensation of employees: Current prices ;
A2714341J,Wholesale trade (F) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714342K,Wholesale trade (F) ;  Total factor income: Current prices ;
A2714344R,Retail trade (G) ;  Total compensation of employees: Current prices ;
A2714345T,Retail trade (G) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714346V,Retail trade (G) ;  Total factor income: Current prices ;
A2714348X,Accommodation and food services (H) ;  Total compensation of employees: Current prices ;
A2714349A,Accommodation and food services (H) ;  Gross operating surplus and gross mixed income: Current prices ;
